classnames_first,classification,comments
Juveniles (Length of body =<63mm),Look up,
Kitten,Post,Inferred from classname
Kitten (0-12 months),Post,Inferred from classname
L (Larvae),Post,Inferred from classname
L1: larval stage,Post,Inferred from classname
Lambs,Post,Inferred from classname
Larvae,Post,Inferred from classname
Larval instars,Post,Inferred from classname
M1 (May),Look up,
Megalopae larvea,Look up,
N1 - N6 (naupliar stages),Look up,
Nauplii,Look up,
NDY,Look up,
Neonate (34-45 mm SVL),Post,Inferred from classname
Neonates,Post,Inferred from classname
Nestling stage,Post,Inferred from classname
Newborn,Post,Inferred from classname
Newborn (< 18 mm standard length),Post,Inferred from classname
Newborns,Post,Inferred from classname
Non-management-trapped individuals: 0 yrs old,Post,Inferred from classname
Nonbreeders,Look up,
One-year-olds,Pre,Inferred from classname
Oocyte,Post,Inferred from classname
P,Look up,
Pelagic Juvenile,Look up,
Prejuvenile,Look up,
Prior to visible recruitment,Look up,
Pup,Post,Inferred from classname
Pup (0 years),Post,Inferred from classname
Pups ,Post,Inferred from classname
"""Pups (< 1 yr,  < 1 m)""",Post,Inferred from classname
Rank 6 ,Look up,
Recruits (<= 35 mm SL),Post,Inferred from classname
River fry,Look up,
S: small (< 50 cmÂ²),Look up,
Second year females,Pre,Inferred from classname
Settler,Look up,
Sice Class 1 (< 5cm radius),Look up,
Small,Look up,
small healthy (<500cm^2),Look up,
Small juveniles (25-49.9mm),Look up,
Small-sized (<=100 cm in total linear length),Look up,
Stage 0,Look up,
Stage 1,Look up,
Stage 1 (instar 1),Look up,
Stage 1- Fecundity: time of  hatching (June-November) to the following May,Look up,
Stage one: beginning one year from fertilization,Look up,
SY- females entering second calendar year of life,Pre,Inferred from classname
SY- second year (yearling),Pre,Inferred from classname
SY- yearling,Pre,Inferred from classname
Tadpole,Post,Inferred from classname
Tick infected as an egg,Look up,
Tooth class 1,Look up,
Unfertilized Eggs (Stage duration or value: 1 day),Post,Inferred from classname
Weanling,Post,Inferred from classname
Year 1,Look up,
Year 1 female,Look up,
Year 1 Juveniles,Look up,
Year 1 male,Look up,
Yearlings,Pre,Inferred from classname
Yearlings  (1 yr),Pre,Inferred from classname
Yearlings (~0.7-0.9 yr),Pre,Inferred from classname
Yearlings (1-2 years old),Pre,Inferred from classname
Young adults (1 year),Pre,Inferred from classname
Young of the year,Post,Inferred from classname
Young of the year ,Post,Inferred from classname
Young of the year (0-1 yrs),Post,Inferred from classname
Young-of-the-year (age 0),Post,Inferred from classname
YOY (Young-of-the-year),Post,Inferred from classname
